"","Term","Mass","proportion","percent","Perc_plot"
"1","bark",16731425.766,0.362963764072418,36.2963764072418,36.2963764072418
"2","carvings",22403.094,0.000486002295251627,0.0486002295251627,NA
"3","cosmetics",15054.4,0.000326583147561497,0.0326583147561497,NA
"4","derivatives",54728.48068,0.00118725419025222,0.118725419025222,NA
"5","dried plants",942950.55,0.0204559304000056,2.04559304000056,NA
"6","extract",5276075.629986,0.114456729329188,11.4456729329188,11.4456729329188
"7","fibres",10011.403,0.000217182717560754,0.0217182717560754,NA
"8","flowers",10160,0.000220406311724467,0.0220406311724466,NA
"9","fruit",1292.4,2.80367241410138e-05,0.00280367241410138,NA
"10","kernel",1940.73,4.21012934402583e-05,0.00421012934402583,NA
"11","leaves",40044.8,0.000868713255092905,0.0868713255092905,NA
"12","medicine",860.12,1.86590429961071e-05,0.00186590429961071,NA
"13","oil",458615.36,0.0099489881887587,0.99489881887587,NA
"14","powder",4273606.6178,0.0927096331093081,9.27096331093081,NA
"15","roots",1788714.04465,0.0388035300503011,3.88035300503011,NA
"16","seeds",93349.216,0.00202507444891049,0.202507444891049,NA
"17","stems",670215.76,0.0145393487914577,1.45393487914577,NA
"18","wax",15705235.159802,0.340702062631631,34.0702062631631,34.0702062631631
